score,wfo_id,wfo_full_name,wfo_check,specific_name
2,wfo-0000146425,Trichomanes brevipes (C.Presl) Baker,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/brevipes$Trichomanes/brevipes,Trichomanes brevipes
1,wfo-0000146426,Trichomanes brevipes C.Chr.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Crepidomanes/christii$Trichomanes/brevipes,Trichomanes brevipes
2,wfo-0001116560,Trichomanes bimarginatum (Bosch) Bosch,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Didymoglossum/bimarginatum$Trichomanes/bimarginatum,Trichomanes bimarginatum
1,wfo-1000072347,Trichomanes bimarginatum Bedd.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Hymenophyllales/Hymenophyllaceae/Trichomanoideae/Vandenboschia/birmanica$Trichomanes/bimarginatum,Trichomanes bimarginatum
2,wfo-0001255553,Alsophila latebrosa Wall. ex Hook.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Alsophila/nilgirensis$Alsophila/latebrosa,Alsophila latebrosa
1,wfo-1200105022,Alsophila latebrosa Wall.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Alsophila/latebrosa,Alsophila latebrosa
2,wfo-0001114722,Alsophila podophylla Hook.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Gymnosphaera/podophylla$Alsophila/podophylla,Alsophila podophylla
1,wfo-1000072516,Alsophila podophylla Baker,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Cyathea/kalbreyeri$Alsophila/podophylla,Alsophila podophylla
2,wfo-0001115245,Alsophila gigantea Wall. ex Hook.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Alsophila/gigantea,Alsophila gigantea
1,wfo-1000071405,Alsophila gigantea Wall.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Cyatheales/Cyatheaceae/Gymnosphaera/gigantea$Alsophila/gigantea,Alsophila gigantea
2,wfo-0001109149,Hypolepis punctata Mett. ex Kuhn,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Hypolepidoideae/Hypolepis/punctata,Hypolepis punctata (Thunb.) Mett. ex Kuhn
1,wfo-1000073462,Hypolepis punctata Bedd.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Hypolepidoideae/Hypolepis/pallida$Hypolepis/punctata,Hypolepis punctata (Thunb.) Mett. ex Kuhn
2,wfo-0000141267,Microlepia rhomboidea C.Presl,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/rhomboidea,Microlepia rhomboidea
1,wfo-0000157736,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Dennstaedtiineae/Dennstaedtiaceae/Dennstaedtioideae/Microlepia/rhomboidea,Microlepia rhomboidea
2,wfo-0000141085,Lindsaea interrupta Wall.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/interrupta$Lindsaea/interrupta,Lindsaea interrupta
1,wfo-0000141086,Lindsaea interrupta (Roxb.) C.V.Morton,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/interrupta,Lindsaea interrupta
10,wfo-0000141119,Lindsaea parallelogramma Alderw.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Lindsaea/parallelogramma,Lindsaea paralellogramma Alderw.
9,wfo-0001256977,Lindsaea parasitica (Roxb.) Wall. ex Hieron.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Nesolindsaea/caudata$Lindsaea/parasitica,Lindsaea paralellogramma Alderw.
8,wfo-1000073947,Lindsaea parasitica (Roxb. ex Griff.) Hieron.,Code/Plantae/Pteridobiotina/Polypodiophyta/Polypodiopsida/Polypodiidae/Polypodiales/Lindsaeineae/Lindsaeaceae/Nesolindsaea/caudata$Lindsaea/parasitica,Lindsaea paralellogramma Alderw.
