species_url_clean,specific_name_clean,count_wfo
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07363,cayratia emarginata trias-blasi & j.parn.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07361,causonis trifolia (l.) mabb. & j.wen,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07360,causonis japonica (thunb. ex murray) raf.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07358,ampelocissus thyrsiflora (blume) planch.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07154,begonia palmata d.don,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07153,begonia obovoidea craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07152,begonia murina craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06935,viola hederacea labill.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06971,macropanax dispermus (blume) kuntze,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06963,dendropanax maingayi king,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06962,dendropanax lancifolius (ridl.) ridl.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06960,brassaiopsis spinosissima esser,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06959,brassaiopsis phanrangensis c.b.shang,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06958,brassaiopsis hainla (buch.-ham. ex d.don) seem.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06957,brassaiopsis griffithii c.b.clarke,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06956,brassaiopsis glomerulata (blume) regel,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06955,brassaiopsis ficifolia dunn,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06954,brassaiopsis ciliata dunn,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06952,arthrophyllum meliifolium craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06951,arthrophyllum macrocarpum philipson & bui,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06950,arthrophyllum ferrugineum craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06949,arthrophyllum diversifolium blume,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06947,aralia thomsonii seem. ex c.b.clarke,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06946,aralia stellata (king) j.wen,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06945,aralia parasitica (d.don) j.wen,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06944,aralia merrillii c.b.shang,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06943,aralia leschenaultii (dc.) j.wen,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06942,aralia foliolosa seem. ex c.b.clarke,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06941,aralia finlaysoniana (wall. ex g.don) seem.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06972,macropanax maingayi (c.b.clarke) philipson,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06973,macropanax undulatus (wall. ex g.don) seem.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06978,schefflera actinophylla (endl.) harms,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06990,schefflera oxyphylla (miq.) r.vig.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=07001,trevesia burckii boerl.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06999,schefflera wrayi (king) r.vig.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06998,schefflera subintegra (craib) c.b.shang,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06997,schefflera simulans craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06996,schefflera siamensis w.w.sm. ex craib,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06995,schefflera schizophylla (hance) frodin,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06994,schefflera pueckleri (k.koch) frodin,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06993,schefflera poomae esser & jebb,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06992,schefflera petelotii merr.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06989,schefflera lurida (king) ridl.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06979,schefflera bengalensis gamble,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06988,schefflera leucantha r.vig.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06987,schefflera lakhonensis c.b.shang,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06986,schefflera hypoleucoides harms,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06985,schefflera hullettii (king) r.vig.,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06984,schefflera heterophylla (wall. ex g.don) harms,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06983,schefflera heptaphylla (l.) frodin,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06982,schefflera elliptica (blume) harms,2
https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=06981,schefflera cuneata craib,2
