wfo_id,scraped_name,scrape_status
wfo-0000409503,Eriocaulon brownianum Mart.,ok
wfo-0000703708,Glinus lotoides L.,ok
wfo-0000162040,Sonerila helferi C.B.Clarke,ok
wfo-0000396060,Brassaiopsis ciliata Dunn,ok
wfo-0000200281,Indigofera wightii Graham ex Wight & Arn.,ok
wfo-0000909246,Coelogyne schultesii S.K.Jain & S.Das,ok
wfo-0000451546,Microcos fibrocarpa (Mast.) Burret,ok
wfo-0001107423,Selaginella delicatula Alston,ok
wfo-0000565067,Bhesa robusta (Roxb.) Ding Hou,ok
wfo-0000637556,Daphne composita (L.f.) Gilg,ok
wfo-0000095297,Himalaiella nivea (DC.) Raab-Straube,ok
wfo-0000199698,Acacia craibii I.C.Nielsen,ok
wfo-0000157586,Tridynamia bialata (Kerr) Staples,ok
wfo-0001131596,Rhizophora apiculata Blume,ok
wfo-0000943501,Dimorphocalyx muricatus (Hook.f.) Airy Shaw,ok
wfo-0000252798,Oberonia insectifera Hook.f.,ok
wfo-0000228488,Liparis rheedei Lindl.,ok
wfo-0000034205,Gynura longifolia Kerr,ok
wfo-0000544922,Ardisia pilosa H.R.Fletcher,ok
wfo-0000824465,Begonia kingiana Irmsch.,ok
wfo-0001340685,Tetrastigma assimile (Kurz) C.L.Li ex Kochaiph. & Trias-Blasi,ok
wfo-0000366674,Lagerstroemia noei Craib,ok
wfo-0000375891,Momordica subangulata Blume,ok
wfo-0000568079,Tacca plantaginea (Hance) Drenth,ok
wfo-0000645301,Dichapetalum longipetalum (Turcz.) Engl.,ok
wfo-0000484908,Polypleurum longistylosum M.Kato,ok
