specific_name,species_url
Dillenia suffruticosa (Grillf.) Martelli,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00192
Acrotrema costatum Jack,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00198
Tetracera scandens (L.) Merr.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200
Tetracera sarmentosa (L.) Vahl,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00201
Tetracera loureiroi (Finet & Gagnep.) Pierre ex Craib,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204
Tetracera indica (Christm. & Panz.) Merr.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205
Tetracera indica (Christm. & Panz.) Merr.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00205
Tetracera loureiroi (Finet & Gagnep.) Pierre ex Craib,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00204
Tetracera sarmentosa (L.) Vahl,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00201
Tetracera scandens (L.) Merr.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00200
Saurauia napaulensis DC.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00208
Saurauia tristyla DC.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00210
Saurauia roxburghii Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00211
Saurauia napaulensis DC.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00208
Saurauia roxburghii Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00211
Saurauia tristyla DC.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00210
Kadsura coccinea,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00214
Kadsura heteroclita (Roxb.) Craib,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00215
Kadsura scandens (Blume) Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00216
Kadsura coccinea,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00214
Kadsura heteroclita (Roxb.) Craib,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00215
Kadsura scandens (Blume) Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00216
Illicium stapfii,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00219
Illicium tenuifolium (Ridl.) A.C.Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00220
Illicium stapfii,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00219
Illicium tenuifolium (Ridl.) A.C.Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00220
Rourea minor (Gaertn.) Leenh.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00231
Rourea prainiana Talbot,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00233
Rourea mimosoides (Vahl) Planch.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00232
Rourea sp.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00234
