volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,wfo_full_name,wfo_source
15,Rubiaceae,83. Luculia,Luculia,83.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Luculia&tdcode=,,2025-10-20T22:59:28.845797+00:00,,,,unfilled
15,Rubiaceae,66. Chassalia,Chassalia,66.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Chassalia&tdcode=,,2025-10-20T22:59:33.246883+00:00,,,,unfilled
15,Rubiaceae,62. Amaracarpus,Amaracarpus,62.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Amaracarpus&tdcode=,,2025-10-20T22:59:37.670173+00:00,,,,unfilled
15,Rubiaceae,78. Ixora,Ixora,78.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ixora&tdcode=,,2025-10-20T22:59:42.080786+00:00,,,,unfilled
15,Rubiaceae,90. Psilanthus,Psilanthus,90.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Psilanthus&tdcode=,,2025-10-20T22:59:46.345369+00:00,,,,unfilled
15,Rubiaceae,98. Tarenna,Tarenna,98.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tarenna&tdcode=,,2025-10-20T22:59:50.622090+00:00,,,,unfilled
15,Rubiaceae,72. Gardenia,Gardenia,72.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gardenia&tdcode=,,2025-10-20T22:59:54.908172+00:00,,,,unfilled
15,Rubiaceae,79. Kailarsenia,Kailarsenia,79.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Kailarsenia&tdcode=,,2025-10-20T22:59:59.292140+00:00,,,,unfilled
15,Rubiaceae,102. Vidalasia,Vidalasia,102.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Vidalasia&tdcode=,,2025-10-20T23:00:03.617220+00:00,,,,unfilled
15,Rubiaceae,70. Fosbergia,Fosbergia,70.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Fosbergia&tdcode=,,2025-10-20T23:00:08.048749+00:00,,,,unfilled
15,Rubiaceae,87. Pitardella,Pitardella,87.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Pitardella&tdcode=,,2025-10-20T23:00:12.427413+00:00,,,,unfilled
15,Rubiaceae,88. Porterandia,Porterandia,88.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Porterandia&tdcode=,,2025-10-20T23:00:16.723313+00:00,,,,unfilled
15,Rubiaceae,99. Tarennoidea,Tarennoidea,99.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Tarennoidea&tdcode=,,2025-10-20T23:00:21.002202+00:00,,,,unfilled
16,Zingiberaceae,5. Cautleya,Cautleya,5.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Cautleya&tdcode=08663,,2025-10-20T23:29:08.494849+00:00,,,,unfilled
16,Zingiberaceae,3. Boesenbergia p.p.,Boesenbergia p.p.,3.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Boesenbergia p.p.&tdcode=,,2025-10-20T23:34:34.983910+00:00,,,,unfilled
16,Zingiberaceae,14. Hedychium,Hedychium,14.0,Hedychium stenopetalum × menghaiense,This is currently accepted.,NORTHERN: Chiang Mai (Doi Pui).,Known only from moderately high altitude in Doi Suthep-Pui NP.,"Terrestrial in open areas in lower montane forests, 1,600–1,700 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hedychium&tdcode=08841,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08862,2025-10-20T23:36:11.745648+00:00,Hedychium stenopetalum × menghaiense,,,unfilled
16,Zingiberaceae,14. Hedychium,Hedychium,14.0,Hedychium stenopetalum × boloveniorum,This is currently accepted.,NORTHERN: Phitsanulok (Phu Soi Dao).,"Known only from Phu Soi Dao, Phitsanulok.","In lower montane and open pine forests, 1,500–1,600 m alt.",https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hedychium&tdcode=08841,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08861,2025-10-20T23:36:20.185297+00:00,Hedychium stenopetalum × boloveniorum,,,unfilled
16,Zingiberaceae,17. Kaempferia p.p.,Kaempferia p.p.,17.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Zingiberaceae&volumeno=16,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Kaempferia p.p.&tdcode=,,2025-10-20T23:37:33.102380+00:00,,,,unfilled
