bkf_specific_name,bkf_wfo_id,specific_name_clean,bkf_wfo_full_name,o7_wfo_id,o7_wfo_full_name,cand_wfo_id,cand_wfo_full_name,wfo_id_final,wfo_source,conflict_bkf_vs_o7,conflict_bkf_vs_cand,conflict_o7_vs_cand,any_conflict,wfo_full_name_final
Dalbergia rostrata Graham ex Prain,wfo-0000200003,dalbergia rostrata graham ex prain,This is currently accepted.,wfo-0000200003,Dalbergia rostrata Graham ex Prain,,,wfo-0000200003,bkf_original,False,False,False,False,Dalbergia rostrata Graham ex Prain
Dalbergia kingiana Prain,wfo-0000197298,dalbergia kingiana prain,This is currently accepted.,wfo-0000197298,Dalbergia kingiana Prain,,,wfo-0000197298,bkf_original,False,False,False,False,Dalbergia kingiana Prain
Dalbergia menoeides Prain ex King.,wfo-0000205943,dalbergia menoeides prain ex king.,This is currently accepted.,,,wfo-0000205943,Dalbergia menoeides Prain,wfo-0000205943,bkf_original,False,False,False,False,
Dalbergia godefroyi Prain,wfo-0000199959,dalbergia godefroyi prain,This is currently accepted.,wfo-0000199959,Dalbergia godefroyi Prain,,,wfo-0000199959,bkf_original,False,False,False,False,Dalbergia godefroyi Prain
Dalbergia volubilis Roxb.,wfo-0000200013,dalbergia volubilis roxb.,This is currently accepted.,wfo-0000200013,Dalbergia volubilis Roxb.,,,wfo-0000200013,bkf_original,False,False,False,False,Dalbergia volubilis Roxb.
Dalbergia stipulacea Roxb.,wfo-0000185857,dalbergia stipulacea roxb.,This is currently accepted.,wfo-0000185857,Dalbergia stipulacea Roxb.,,,wfo-0000185857,bkf_original,False,False,False,False,Dalbergia stipulacea Roxb.
Dalbergia pinnata (Lour.) Prain,wfo-0000197286,dalbergia pinnata (lour.) prain,This is currently accepted.,wfo-0000197286,Dalbergia pinnata (Lour.) Prain,,,wfo-0000197286,bkf_original,False,False,False,False,Dalbergia pinnata (Lour.) Prain
Dalbergia velutina Benth.,wfo-0000200011,dalbergia velutina benth.,This is currently accepted.,wfo-0000200011,Dalbergia velutina Benth.,,,wfo-0000200011,bkf_original,False,False,False,False,Dalbergia velutina Benth.
Dalbergia candenatensis (Dennst.) Prain,wfo-0000194807,dalbergia candenatensis (dennst.) prain,This is currently accepted.,wfo-0000194807,Dalbergia candenatensis (Dennst.) Prain,,,wfo-0000194807,bkf_original,False,False,False,False,Dalbergia candenatensis (Dennst.) Prain
Dalbergia horrida (Dennst.) Mabb.,,dalbergia horrida (dennst.) mabb.,This is currently accepted.,wfo-0000199960,Dalbergia horrida (Dennst.) Mabb.,,,wfo-0000199960,output7_exact,False,False,False,False,Dalbergia horrida (Dennst.) Mabb.
Derris solorioides Sirich. & Adema,wfo-0001341567,derris solorioides sirich. & adema,This is currently accepted.,wfo-0001341567,Derris solorioides Sirich. & Adema,,,wfo-0001341567,bkf_original,False,False,False,False,Derris solorioides Sirich. & Adema
Derris marginata (Roxb.) Benth.,wfo-0000185924,derris marginata (roxb.) benth.,This is currently accepted.,wfo-0000185924,Derris marginata (Roxb.) Benth.,,,wfo-0000185924,bkf_original,False,False,False,False,Derris marginata (Roxb.) Benth.
