wfo_id,wfo_full_name,wfo_check,input_name_string
wfo-0000917419,Colocasia esculenta (L.) Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Colocasia/esculenta,colocasia esculenta (l.) schott
wfo-0000917474,Colocasia fallax Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Colocasia/fallax,colocasia fallax schott
,,1 candidates found.,alocasia navicularis (k.koch & c.d.bouché) k.koch & c.d.bouché
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,No candidates found,
,,1 candidates found.,alocasia fornicata (roxb.) schott
,,1 candidates found.,alocasia odora (lindl.) k.koch
wfo-0000949409,Alocasia macrorrhizos (L.) G.Don,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Alocasia/macrorrhizos,alocasia macrorrhizos (l.) g.don
wfo-0000911358,Alocasia hypoleuca P.C.Boyce,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Alocasia/hypoleuca,alocasia hypoleuca p.c.boyce
wfo-0001338889,"Englerarum hypnosum (J.T.Yin, Y.H.Wang & Z.F.Xu) Nauheimer & P.C.Boyce",Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Englerarum/montanum$Englerarum/hypnosum,englerarum hypnosum
wfo-0000948800,Alocasia cucullata (Lour.) G.Don,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Alocasia/cucullata,alocasia cucullata (lour.) g.don
wfo-0000949355,Alocasia longiloba Miq.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Alocasia/longiloba,alocasia longiloba miq.
wfo-0000949771,Alocasia perakensis Hemsl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Alocasia/perakensis,alocasia perakensis hemsl.
wfo-0000948440,Alocasia acuminata Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Alocasia/acuminata,alocasia acuminata schott
,,10 candidates found.,alocasia sp. nov. a
,,10 candidates found.,alocasia sp. nov. b
wfo-0000269241,Ariopsis protanthera N.E.Br.,unplaced,ariopsis protanthera n.e.br.
wfo-0000316766,Steudnera kerrii Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Steudnera/kerrii,steudnera kerrii gagnep.
wfo-0000316759,Steudnera colocasiifolia K.Koch,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Steudnera/colocasiifolia,steudnera colocasiifolia k.koch
,,1 candidates found.,steudnera discolor w.bull
wfo-0000979203,Hapaline brownii Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Hapaline/brownii,hapaline brownii hook.f.
wfo-0000979207,Hapaline kerrii Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Hapaline/kerrii,hapaline kerrii gagnep.
wfo-0000979205,Hapaline colaniae Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Hapaline/colaniae,hapaline colaniae gagnep.
wfo-0000979202,Hapaline benthamiana Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Hapaline/benthamiana,hapaline benthamiana schott
wfo-0000328867,Typhonium albispathum Bogner,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/albispathum,typhonium albispathum bogner
wfo-0000328913,Typhonium gallowayi Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/gallowayi,typhonium gallowayi hett. & sookch.
wfo-0001272536,Typhonium smitinandii Sookch. & J.Murata,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/smitinandii,typhonium smitinandii sookch. & j.murata
wfo-0000328960,Typhonium pedunculatum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/pedunculatum,typhonium pedunculatum hett. & sookch.
wfo-0000328966,Typhonium reflexum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/reflexum,typhonium reflexum hett. & sookch.
wfo-0000328865,Typhonium adnatum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/adnatum,typhonium adnatum hett. & sookch.
wfo-0000328947,Typhonium medusae Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/medusae,typhonium medusae hett. & sookch.
wfo-0000328965,"Typhonium pusillum Sookch., V.D.Nguyen & Hett.",Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/pusillum,"typhonium pusillum sookch., v.d.nguyen & hett."
wfo-0000328912,Typhonium gagnepainii J.Murata & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/gagnepainii,typhonium gagnepainii j.murata & sookch.
wfo-0000328876,Typhonium bognerianum J.Murata & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/bognerianum,typhonium bognerianum j.murata & sookch.
wfo-0000596078,"Typhonium watanabei J.Murata, Sookch. & Hett.",Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/watanabei,"typhonium watanabei j.murata, sookch. & hett."
wfo-0000328985,Typhonium varians Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/varians,typhonium varians hett. & sookch.
wfo-0000328908,Typhonium flagelliforme (G.Lodd.) Blume,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/flagelliforme,typhonium flagelliforme (g.lodd.) blume
wfo-0000328902,Typhonium echinulatum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/echinulatum,typhonium echinulatum hett. & sookch.
wfo-0000328971,Typhonium sagittariifolium Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/sagittariifolium,typhonium sagittariifolium gagnep.
wfo-0000914698,Typhonium conchiforme Hett. & A.Galloway,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/conchiforme,typhonium conchiforme hett. & a.galloway
wfo-0000328972,"Typhonium saraburiense Sookch., Hett. & J.Murata",Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/saraburiense,"typhonium saraburiense sookch., hett. & j.murata"
wfo-0000328968,Typhonium roxburghii Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/roxburghii,typhonium roxburghii schott
wfo-0000328982,Typhonium trilobatum (L.) Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/trilobatum,typhonium trilobatum (l.) schott
wfo-0000328892,Typhonium digitatum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/digitatum,typhonium digitatum hett. & sookch.
wfo-0000328906,Typhonium filiforme Ridl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/filiforme,typhonium filiforme ridl.
wfo-0000328976,Typhonium subglobosum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/subglobosum,typhonium subglobosum hett. & sookch.
wfo-0000328919,Typhonium glaucum Hett. & Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/glaucum,typhonium glaucum hett. & sookch.
wfo-0000328866,Typhonium albidinervium C.Z.Tang & H.Li,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/albidinervium,typhonium albidinervum c.z.tang & h.li
wfo-0000328887,Typhonium cordifolium S.Y.Hu,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/cordifolium,typhonium cordifolium s.y.hu
wfo-0000914702,Typhonium tubispathum Hett. & A.Galloway,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/tubispathum,typhonium tubispathum hett. & a.galloway
wfo-0000328987,Typhonium violifolium Gagnep.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Typhonium/violifolium,typhonium violifolium gagnep.
