score,wfo_id,wfo_full_name,wfo_check,specific_name
4,wfo-1200063781,"Trema orientale var. molle Kuntze",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/micranthum$Trema/orientale/molle,"Trema orientalis (L.) Blume"
3,wfo-0001397429,"Trema orientale var. mollis Kuntze",unplaced,"Trema orientalis (L.) Blume"
2,wfo-1200063792,"Trema orientale var. rigidum (Blume) Lauterb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/orientale/rigidum,"Trema orientalis (L.) Blume"
1,wfo-0001378537,"Trema orientale var. rugosa Kuntze",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/micranthum$Trema/orientale/rugosa,"Trema orientalis (L.) Blume"
10,wfo-0001244132,"Trema tomentosum (Roxb.) H.Hara",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum,"Trema tomentosa (Roxb.) H.Hara"
9,wfo-0001383074,"Trema tomentosum var. aspera (Brongn.) Hewson",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum/viridis$Trema/tomentosum/aspera,"Trema tomentosa (Roxb.) H.Hara"
8,wfo-0001402642,"Trema tomentosum var. tomentosa (Roxb.) H.Hara",unplaced,"Trema tomentosa (Roxb.) H.Hara"
7,wfo-1200063825,"Trema tomentosum var. tomentosum ",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum/tomentosum,"Trema tomentosa (Roxb.) H.Hara"
6,wfo-0001266000,"Trema tomentosum var. viridis (Planch.) Hewson",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum/viridis,"Trema tomentosa (Roxb.) H.Hara"
5,wfo-0001244146,"Trema timorense (Decne.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/cannabina/cannabina$Trema/timorense,"Trema tomentosa (Roxb.) H.Hara"
4,wfo-1200063794,"Trema timorense var. carinatum (Blume) Lauterb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/cannabina/cannabina$Trema/timorense/carinatum,"Trema tomentosa (Roxb.) H.Hara"
3,wfo-1200063793,"Trema timorense var. pallidum (Blume) Lauterb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/cannabina/cannabina$Trema/timorense/pallidum,"Trema tomentosa (Roxb.) H.Hara"
2,wfo-1200063795,"Trema timorense var. procerum Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/cannabina/cannabina$Trema/timorense/procerum,"Trema tomentosa (Roxb.) H.Hara"
